INFO:root:Insertion for Person111, property 55: 0.005923 seconds
INFO:root:Insertion for Person112, property 12: 0.006110 seconds
INFO:root:Insertion for Person113, property 93: 0.006667 seconds
INFO:root:Insertion for Person114, property 58: 0.005023 seconds
INFO:root:Insertion for Person115, property 99: 0.006236 seconds
INFO:root:Insertion for Person116, property 16: 0.005830 seconds
INFO:root:Insertion for Person117, property 28: 0.006631 seconds
INFO:root:Insertion for Person118, property 19: 0.005699 seconds
INFO:root:Insertion for Person119, property 50: 0.006336 seconds
INFO:root:Insertion for Person120, property 29: 0.006429 seconds
INFO:root:Insertion for Person121, property 37: 0.006355 seconds
INFO:root:Insertion for Person122, property 42: 0.006427 seconds
INFO:root:Insertion for Person123, property 45: 0.007172 seconds
INFO:root:Insertion for Person124, property 55: 0.005335 seconds
INFO:root:Insertion for Person125, property 39: 0.005008 seconds
INFO:root:Insertion for Person126, property 40: 0.005572 seconds
INFO:root:Insertion for Person127, property 60: 0.005646 seconds
INFO:root:Insertion for Person128, property 71: 0.005285 seconds
INFO:root:Insertion for Person129, property 89: 0.005219 seconds
INFO:root:Insertion for Person130, property 3: 0.006333 seconds
INFO:root:Insertion for Person131, property 99: 0.006035 seconds
INFO:root:Insertion for Person132, property 2: 0.004997 seconds
INFO:root:Insertion for Person133, property 87: 0.007276 seconds
INFO:root:Insertion for Person134, property 82: 0.006010 seconds
INFO:root:Insertion for Person135, property 20: 0.007401 seconds
INFO:root:Insertion for Person136, property 95: 0.006517 seconds
INFO:root:Insertion for Person137, property 55: 0.005750 seconds
INFO:root:Insertion for Person138, property 15: 0.007099 seconds
INFO:root:Insertion for Person139, property 70: 0.005998 seconds
INFO:root:Insertion for Person140, property 12: 0.007335 seconds
INFO:root:Insertion for Person141, property 63: 0.005489 seconds
INFO:root:Insertion for Person142, property 18: 0.006213 seconds
INFO:root:Insertion for Person143, property 31: 0.006721 seconds
INFO:root:Insertion for Person144, property 33: 0.005998 seconds
INFO:root:Insertion for Person145, property 37: 0.005951 seconds
INFO:root:Insertion for Person146, property 59: 0.006726 seconds
INFO:root:Insertion for Person147, property 41: 0.004836 seconds
INFO:root:Insertion for Person148, property 57: 0.007166 seconds
INFO:root:Insertion for Person149, property 18: 0.006243 seconds
INFO:root:Insertion for Person150, property 81: 0.005542 seconds
INFO:root:Insertion for Person151, property 64: 0.006468 seconds
INFO:root:Insertion for Person152, property 30: 0.006109 seconds
INFO:root:Insertion for Person153, property 93: 0.006473 seconds
INFO:root:Insertion for Person154, property 63: 0.006393 seconds
INFO:root:Insertion for Person155, property 51: 0.005997 seconds
INFO:root:Insertion for Person156, property 86: 0.005489 seconds
INFO:root:Insertion for Person157, property 11: 0.004676 seconds
INFO:root:Insertion for Person158, property 34: 0.005825 seconds
INFO:root:Insertion for Person159, property 1: 0.005484 seconds
INFO:root:Insertion for Person160, property 61: 0.004998 seconds
INFO:root:Insertion for Person161, property 88: 0.004698 seconds
INFO:root:Insertion for Person162, property 17: 0.005830 seconds
INFO:root:Insertion for Person163, property 43: 0.005998 seconds
INFO:root:Insertion for Person164, property 58: 0.005002 seconds
INFO:root:Insertion for Person165, property 67: 0.005873 seconds
INFO:root:Insertion for Person166, property 50: 0.005909 seconds
INFO:root:Insertion for Person167, property 46: 0.004000 seconds
INFO:root:Insertion for Person168, property 60: 0.006351 seconds
INFO:root:Insertion for Person169, property 55: 0.004586 seconds
INFO:root:Insertion for Person170, property 34: 0.005359 seconds
INFO:root:Insertion for Person171, property 96: 0.005004 seconds
INFO:root:Insertion for Person172, property 56: 0.005342 seconds
INFO:root:Insertion for Person173, property 13: 0.004998 seconds
INFO:root:Insertion for Person174, property 11: 0.005476 seconds
INFO:root:Insertion for Person175, property 44: 0.005405 seconds
INFO:root:Insertion for Person176, property 41: 0.004515 seconds
INFO:root:Insertion for Person177, property 82: 0.004690 seconds
INFO:root:Insertion for Person178, property 1: 0.006632 seconds
INFO:root:Insertion for Person179, property 94: 0.005368 seconds
INFO:root:Insertion for Person180, property 96: 0.004338 seconds
INFO:root:Insertion for Person181, property 39: 0.006087 seconds
INFO:root:Insertion for Person182, property 4: 0.005185 seconds
INFO:root:Insertion for Person183, property 83: 0.005448 seconds
INFO:root:Insertion for Person184, property 29: 0.005602 seconds
INFO:root:Insertion for Person185, property 14: 0.005376 seconds
INFO:root:Insertion for Person186, property 87: 0.004461 seconds
INFO:root:Insertion for Person187, property 23: 0.005172 seconds
INFO:root:Insertion for Person188, property 46: 0.005195 seconds
INFO:root:Insertion for Person189, property 54: 0.004690 seconds
INFO:root:Insertion for Person190, property 76: 0.004896 seconds
INFO:root:Insertion for Person191, property 77: 0.005215 seconds
INFO:root:Insertion for Person192, property 91: 0.004729 seconds
